batter,phase,runs,balls,dismissals,strike_rate,avg
EJG Morgan,Middle,714,642,28,111.21,25.5
EJG Morgan,Powerplay,176,192,8,91.67,22.0
F du Plessis,Death,568,316,30,179.75,18.93
F du Plessis,Middle,1924,1526,52,126.08,37.0
F du Plessis,Powerplay,2281,1673,53,136.34,43.04
G Gambhir,Death,270,186,15,145.16,18.0
G Gambhir,Middle,1670,1350,52,123.7,32.12
G Gambhir,Powerplay,2277,1868,67,121.9,33.99
GC Smith,Middle,299,241,11,124.07,27.18
GC Smith,Powerplay,374,387,16,96.64,23.38
GH Vihari,Middle,145,161,6,90.06,24.17
